Waste Volume Coordinate,Surface Area Coordinate,Dumpsite Count,Volume Range Label,Area Range Label
2,6,0,Over 500 t,300-1000 m2
2,6,0,Over 500 t,1000-5000 m2
2,6,0,Over 500 t,Over 5000 m2
3,1,0,Up to 1 t,Less than 30 m2
3,1,0,Up to 1 t,30-100 m2
3,1,0,Up to 1 t,100-300 m2
3,1,0,Up to 1 t,300-1000 m2
3,1,0,Up to 1 t,1000-5000 m2
3,1,0,Up to 1 t,Over 5000 m2
3,1,0,1-5 t,Less than 30 m2
3,1,0,1-5 t,30-100 m2
3,1,0,1-5 t,100-300 m2
3,1,0,1-5 t,300-1000 m2
3,1,0,1-5 t,1000-5000 m2
3,1,0,1-5 t,Over 5000 m2
3,1,248,5-20 t,Less than 30 m2
3,1,0,5-20 t,30-100 m2
3,1,0,5-20 t,100-300 m2
3,1,0,5-20 t,300-1000 m2
3,1,0,5-20 t,1000-5000 m2
3,1,0,5-20 t,Over 5000 m2
3,1,0,20-100 t,Less than 30 m2
3,1,0,20-100 t,30-100 m2
3,1,0,20-100 t,100-300 m2
3,1,0,20-100 t,300-1000 m2
3,1,0,20-100 t,1000-5000 m2
3,1,0,20-100 t,Over 5000 m2
3,1,0,100-500 t,Less than 30 m2
3,1,0,100-500 t,30-100 m2
3,1,0,100-500 t,100-300 m2
3,1,0,100-500 t,300-1000 m2
3,1,0,100-500 t,1000-5000 m2
3,1,0,100-500 t,Over 5000 m2
3,1,0,Over 500 t,Less than 30 m2
3,1,0,Over 500 t,30-100 m2
3,1,0,Over 500 t,100-300 m2
3,1,0,Over 500 t,300-1000 m2
3,1,0,Over 500 t,1000-5000 m2
3,1,0,Over 500 t,Over 5000 m2
3,2,0,Up to 1 t,Less than 30 m2
3,2,0,Up to 1 t,30-100 m2
3,2,0,Up to 1 t,100-300 m2
3,2,0,Up to 1 t,300-1000 m2
3,2,0,Up to 1 t,1000-5000 m2
3,2,0,Up to 1 t,Over 5000 m2
3,2,0,1-5 t,Less than 30 m2
3,2,0,1-5 t,30-100 m2
3,2,0,1-5 t,100-300 m2
3,2,0,1-5 t,300-1000 m2
3,2,0,1-5 t,1000-5000 m2
3,2,0,1-5 t,Over 5000 m2
3,2,0,5-20 t,Less than 30 m2
3,2,468,5-20 t,30-100 m2
3,2,0,5-20 t,100-300 m2
3,2,0,5-20 t,300-1000 m2
3,2,0,5-20 t,1000-5000 m2
3,2,0,5-20 t,Over 5000 m2
3,2,0,20-100 t,Less than 30 m2
3,2,0,20-100 t,30-100 m2
3,2,0,20-100 t,100-300 m2
3,2,0,20-100 t,300-1000 m2
3,2,0,20-100 t,1000-5000 m2
3,2,0,20-100 t,Over 5000 m2
3,2,0,100-500 t,Less than 30 m2
3,2,0,100-500 t,30-100 m2
3,2,0,100-500 t,100-300 m2
3,2,0,100-500 t,300-1000 m2
3,2,0,100-500 t,1000-5000 m2
3,2,0,100-500 t,Over 5000 m2
3,2,0,Over 500 t,Less than 30 m2
3,2,0,Over 500 t,30-100 m2
3,2,0,Over 500 t,100-300 m2
3,2,0,Over 500 t,300-1000 m2
3,2,0,Over 500 t,1000-5000 m2
3,2,0,Over 500 t,Over 5000 m2
3,3,0,Up to 1 t,Less than 30 m2
3,3,0,Up to 1 t,30-100 m2
3,3,0,Up to 1 t,100-300 m2
3,3,0,Up to 1 t,300-1000 m2
3,3,0,Up to 1 t,1000-5000 m2
3,3,0,Up to 1 t,Over 5000 m2
3,3,0,1-5 t,Less than 30 m2
3,3,0,1-5 t,30-100 m2
3,3,0,1-5 t,100-300 m2
3,3,0,1-5 t,300-1000 m2
3,3,0,1-5 t,1000-5000 m2
3,3,0,1-5 t,Over 5000 m2
3,3,0,5-20 t,Less than 30 m2
3,3,0,5-20 t,30-100 m2
3,3,574,5-20 t,100-300 m2
3,3,0,5-20 t,300-1000 m2
3,3,0,5-20 t,1000-5000 m2
3,3,0,5-20 t,Over 5000 m2
3,3,0,20-100 t,Less than 30 m2
3,3,0,20-100 t,30-100 m2
3,3,0,20-100 t,100-300 m2
3,3,0,20-100 t,300-1000 m2
3,3,0,20-100 t,1000-5000 m2
3,3,0,20-100 t,Over 5000 m2
3,3,0,100-500 t,Less than 30 m2
3,3,0,100-500 t,30-100 m2
3,3,0,100-500 t,100-300 m2
3,3,0,100-500 t,300-1000 m2
3,3,0,100-500 t,1000-5000 m2
3,3,0,100-500 t,Over 5000 m2
3,3,0,Over 500 t,Less than 30 m2
3,3,0,Over 500 t,30-100 m2
3,3,0,Over 500 t,100-300 m2
3,3,0,Over 500 t,300-1000 m2
3,3,0,Over 500 t,1000-5000 m2
3,3,0,Over 500 t,Over 5000 m2
3,4,0,Up to 1 t,Less than 30 m2
3,4,0,Up to 1 t,30-100 m2
3,4,0,Up to 1 t,100-300 m2
3,4,0,Up to 1 t,300-1000 m2
3,4,0,Up to 1 t,1000-5000 m2
3,4,0,Up to 1 t,Over 5000 m2
3,4,0,1-5 t,Less than 30 m2
3,4,0,1-5 t,30-100 m2
3,4,0,1-5 t,100-300 m2
3,4,0,1-5 t,300-1000 m2
3,4,0,1-5 t,1000-5000 m2
3,4,0,1-5 t,Over 5000 m2
3,4,0,5-20 t,Less than 30 m2
3,4,0,5-20 t,30-100 m2
3,4,0,5-20 t,100-300 m2
3,4,448,5-20 t,300-1000 m2
3,4,0,5-20 t,1000-5000 m2
3,4,0,5-20 t,Over 5000 m2
3,4,0,20-100 t,Less than 30 m2
3,4,0,20-100 t,30-100 m2
3,4,0,20-100 t,100-300 m2
3,4,0,20-100 t,300-1000 m2
3,4,0,20-100 t,1000-5000 m2
3,4,0,20-100 t,Over 5000 m2
3,4,0,100-500 t,Less than 30 m2
3,4,0,100-500 t,30-100 m2
3,4,0,100-500 t,100-300 m2
3,4,0,100-500 t,300-1000 m2
3,4,0,100-500 t,1000-5000 m2
3,4,0,100-500 t,Over 5000 m2
3,4,0,Over 500 t,Less than 30 m2
3,4,0,Over 500 t,30-100 m2
3,4,0,Over 500 t,100-300 m2
3,4,0,Over 500 t,300-1000 m2
3,4,0,Over 500 t,1000-5000 m2
3,4,0,Over 500 t,Over 5000 m2
3,5,0,Up to 1 t,Less than 30 m2
3,5,0,Up to 1 t,30-100 m2
3,5,0,Up to 1 t,100-300 m2
3,5,0,Up to 1 t,300-1000 m2
3,5,0,Up to 1 t,1000-5000 m2
3,5,0,Up to 1 t,Over 5000 m2
3,5,0,1-5 t,Less than 30 m2
3,5,0,1-5 t,30-100 m2
3,5,0,1-5 t,100-300 m2
3,5,0,1-5 t,300-1000 m2
3,5,0,1-5 t,1000-5000 m2
3,5,0,1-5 t,Over 5000 m2
3,5,0,5-20 t,Less than 30 m2
3,5,0,5-20 t,30-100 m2
3,5,0,5-20 t,100-300 m2
3,5,0,5-20 t,300-1000 m2
3,5,200,5-20 t,1000-5000 m2
3,5,0,5-20 t,Over 5000 m2
3,5,0,20-100 t,Less than 30 m2
3,5,0,20-100 t,30-100 m2
3,5,0,20-100 t,100-300 m2
3,5,0,20-100 t,300-1000 m2
3,5,0,20-100 t,1000-5000 m2
3,5,0,20-100 t,Over 5000 m2
3,5,0,100-500 t,Less than 30 m2
3,5,0,100-500 t,30-100 m2
3,5,0,100-500 t,100-300 m2
3,5,0,100-500 t,300-1000 m2
3,5,0,100-500 t,1000-5000 m2
3,5,0,100-500 t,Over 5000 m2
3,5,0,Over 500 t,Less than 30 m2
3,5,0,Over 500 t,30-100 m2
3,5,0,Over 500 t,100-300 m2
3,5,0,Over 500 t,300-1000 m2
3,5,0,Over 500 t,1000-5000 m2
3,5,0,Over 500 t,Over 5000 m2
3,6,0,Up to 1 t,Less than 30 m2
3,6,0,Up to 1 t,30-100 m2
3,6,0,Up to 1 t,100-300 m2
3,6,0,Up to 1 t,300-1000 m2
3,6,0,Up to 1 t,1000-5000 m2
3,6,0,Up to 1 t,Over 5000 m2
3,6,0,1-5 t,Less than 30 m2
3,6,0,1-5 t,30-100 m2
3,6,0,1-5 t,100-300 m2
3,6,0,1-5 t,300-1000 m2
3,6,0,1-5 t,1000-5000 m2
3,6,0,1-5 t,Over 5000 m2
3,6,0,5-20 t,Less than 30 m2
3,6,0,5-20 t,30-100 m2
3,6,0,5-20 t,100-300 m2
3,6,0,5-20 t,300-1000 m2
3,6,0,5-20 t,1000-5000 m2
3,6,55,5-20 t,Over 5000 m2
3,6,0,20-100 t,Less than 30 m2
3,6,0,20-100 t,30-100 m2
3,6,0,20-100 t,100-300 m2
3,6,0,20-100 t,300-1000 m2
3,6,0,20-100 t,1000-5000 m2
3,6,0,20-100 t,Over 5000 m2
3,6,0,100-500 t,Less than 30 m2
3,6,0,100-500 t,30-100 m2
3,6,0,100-500 t,100-300 m2
3,6,0,100-500 t,300-1000 m2
3,6,0,100-500 t,1000-5000 m2
3,6,0,100-500 t,Over 5000 m2
3,6,0,Over 500 t,Less than 30 m2
3,6,0,Over 500 t,30-100 m2
3,6,0,Over 500 t,100-300 m2
3,6,0,Over 500 t,300-1000 m2
3,6,0,Over 500 t,1000-5000 m2
3,6,0,Over 500 t,Over 5000 m2
4,1,0,Up to 1 t,Less than 30 m2
4,1,0,Up to 1 t,30-100 m2
4,1,0,Up to 1 t,100-300 m2
4,1,0,Up to 1 t,300-1000 m2
4,1,0,Up to 1 t,1000-5000 m2
4,1,0,Up to 1 t,Over 5000 m2
4,1,0,1-5 t,Less than 30 m2
4,1,0,1-5 t,30-100 m2
4,1,0,1-5 t,100-300 m2
4,1,0,1-5 t,300-1000 m2
4,1,0,1-5 t,1000-5000 m2
4,1,0,1-5 t,Over 5000 m2
4,1,0,5-20 t,Less than 30 m2
4,1,0,5-20 t,30-100 m2
4,1,0,5-20 t,100-300 m2
4,1,0,5-20 t,300-1000 m2
4,1,0,5-20 t,1000-5000 m2
4,1,0,5-20 t,Over 5000 m2
4,1,76,20-100 t,Less than 30 m2
4,1,0,20-100 t,30-100 m2
4,1,0,20-100 t,100-300 m2
4,1,0,20-100 t,300-1000 m2
4,1,0,20-100 t,1000-5000 m2
4,1,0,20-100 t,Over 5000 m2
4,1,0,100-500 t,Less than 30 m2
4,1,0,100-500 t,30-100 m2
4,1,0,100-500 t,100-300 m2
4,1,0,100-500 t,300-1000 m2
4,1,0,100-500 t,1000-5000 m2
4,1,0,100-500 t,Over 5000 m2
4,1,0,Over 500 t,Less than 30 m2
4,1,0,Over 500 t,30-100 m2
4,1,0,Over 500 t,100-300 m2
4,1,0,Over 500 t,300-1000 m2
4,1,0,Over 500 t,1000-5000 m2
4,1,0,Over 500 t,Over 5000 m2
4,2,0,Up to 1 t,Less than 30 m2
4,2,0,Up to 1 t,30-100 m2
4,2,0,Up to 1 t,100-300 m2
4,2,0,Up to 1 t,300-1000 m2
4,2,0,Up to 1 t,1000-5000 m2
4,2,0,Up to 1 t,Over 5000 m2
4,2,0,1-5 t,Less than 30 m2
4,2,0,1-5 t,30-100 m2
4,2,0,1-5 t,100-300 m2
4,2,0,1-5 t,300-1000 m2
4,2,0,1-5 t,1000-5000 m2
4,2,0,1-5 t,Over 5000 m2
4,2,0,5-20 t,Less than 30 m2
4,2,0,5-20 t,30-100 m2
4,2,0,5-20 t,100-300 m2
4,2,0,5-20 t,300-1000 m2
4,2,0,5-20 t,1000-5000 m2
4,2,0,5-20 t,Over 5000 m2
4,2,0,20-100 t,Less than 30 m2
4,2,245,20-100 t,30-100 m2
4,2,0,20-100 t,100-300 m2
4,2,0,20-100 t,300-1000 m2
4,2,0,20-100 t,1000-5000 m2
4,2,0,20-100 t,Over 5000 m2
4,2,0,100-500 t,Less than 30 m2
4,2,0,100-500 t,30-100 m2
4,2,0,100-500 t,100-300 m2
4,2,0,100-500 t,300-1000 m2
4,2,0,100-500 t,1000-5000 m2
4,2,0,100-500 t,Over 5000 m2
4,2,0,Over 500 t,Less than 30 m2
4,2,0,Over 500 t,30-100 m2
4,2,0,Over 500 t,100-300 m2
4,2,0,Over 500 t,300-1000 m2
4,2,0,Over 500 t,1000-5000 m2
4,2,0,Over 500 t,Over 5000 m2
4,3,0,Up to 1 t,Less than 30 m2
4,3,0,Up to 1 t,30-100 m2
4,3,0,Up to 1 t,100-300 m2
4,3,0,Up to 1 t,300-1000 m2
4,3,0,Up to 1 t,1000-5000 m2
4,3,0,Up to 1 t,Over 5000 m2
4,3,0,1-5 t,Less than 30 m2
4,3,0,1-5 t,30-100 m2
4,3,0,1-5 t,100-300 m2
4,3,0,1-5 t,300-1000 m2
4,3,0,1-5 t,1000-5000 m2
4,3,0,1-5 t,Over 5000 m2
4,3,0,5-20 t,Less than 30 m2
4,3,0,5-20 t,30-100 m2
4,3,0,5-20 t,100-300 m2
4,3,0,5-20 t,300-1000 m2
4,3,0,5-20 t,1000-5000 m2
4,3,0,5-20 t,Over 5000 m2
4,3,0,20-100 t,Less than 30 m2
4,3,0,20-100 t,30-100 m2
4,3,538,20-100 t,100-300 m2
4,3,0,20-100 t,300-1000 m2
4,3,0,20-100 t,1000-5000 m2
4,3,0,20-100 t,Over 5000 m2
4,3,0,100-500 t,Less than 30 m2
4,3,0,100-500 t,30-100 m2
4,3,0,100-500 t,100-300 m2
4,3,0,100-500 t,300-1000 m2
4,3,0,100-500 t,1000-5000 m2
4,3,0,100-500 t,Over 5000 m2
4,3,0,Over 500 t,Less than 30 m2
4,3,0,Over 500 t,30-100 m2
4,3,0,Over 500 t,100-300 m2
4,3,0,Over 500 t,300-1000 m2
4,3,0,Over 500 t,1000-5000 m2
4,3,0,Over 500 t,Over 5000 m2
4,4,0,Up to 1 t,Less than 30 m2
4,4,0,Up to 1 t,30-100 m2
4,4,0,Up to 1 t,100-300 m2
4,4,0,Up to 1 t,300-1000 m2
4,4,0,Up to 1 t,1000-5000 m2
4,4,0,Up to 1 t,Over 5000 m2
4,4,0,1-5 t,Less than 30 m2
4,4,0,1-5 t,30-100 m2
4,4,0,1-5 t,100-300 m2
4,4,0,1-5 t,300-1000 m2
4,4,0,1-5 t,1000-5000 m2
4,4,0,1-5 t,Over 5000 m2
4,4,0,5-20 t,Less than 30 m2
4,4,0,5-20 t,30-100 m2
4,4,0,5-20 t,100-300 m2
4,4,0,5-20 t,300-1000 m2
4,4,0,5-20 t,1000-5000 m2
4,4,0,5-20 t,Over 5000 m2
4,4,0,20-100 t,Less than 30 m2
4,4,0,20-100 t,30-100 m2
4,4,0,20-100 t,100-300 m2
4,4,660,20-100 t,300-1000 m2
4,4,0,20-100 t,1000-5000 m2
4,4,0,20-100 t,Over 5000 m2
4,4,0,100-500 t,Less than 30 m2
4,4,0,100-500 t,30-100 m2
4,4,0,100-500 t,100-300 m2
4,4,0,100-500 t,300-1000 m2
4,4,0,100-500 t,1000-5000 m2
4,4,0,100-500 t,Over 5000 m2
4,4,0,Over 500 t,Less than 30 m2
4,4,0,Over 500 t,30-100 m2
4,4,0,Over 500 t,100-300 m2
4,4,0,Over 500 t,300-1000 m2
4,4,0,Over 500 t,1000-5000 m2
4,4,0,Over 500 t,Over 5000 m2
4,5,0,Up to 1 t,Less than 30 m2
4,5,0,Up to 1 t,30-100 m2
4,5,0,Up to 1 t,100-300 m2
4,5,0,Up to 1 t,300-1000 m2
4,5,0,Up to 1 t,1000-5000 m2
4,5,0,Up to 1 t,Over 5000 m2
4,5,0,1-5 t,Less than 30 m2
4,5,0,1-5 t,30-100 m2
4,5,0,1-5 t,100-300 m2
4,5,0,1-5 t,300-1000 m2
4,5,0,1-5 t,1000-5000 m2
4,5,0,1-5 t,Over 5000 m2
4,5,0,5-20 t,Less than 30 m2
4,5,0,5-20 t,30-100 m2
4,5,0,5-20 t,100-300 m2
4,5,0,5-20 t,300-1000 m2
4,5,0,5-20 t,1000-5000 m2
4,5,0,5-20 t,Over 5000 m2
4,5,0,20-100 t,Less than 30 m2
4,5,0,20-100 t,30-100 m2
4,5,0,20-100 t,100-300 m2
4,5,0,20-100 t,300-1000 m2
4,5,419,20-100 t,1000-5000 m2
4,5,0,20-100 t,Over 5000 m2
4,5,0,100-500 t,Less than 30 m2
4,5,0,100-500 t,30-100 m2
4,5,0,100-500 t,100-300 m2
4,5,0,100-500 t,300-1000 m2
4,5,0,100-500 t,1000-5000 m2
4,5,0,100-500 t,Over 5000 m2
4,5,0,Over 500 t,Less than 30 m2
4,5,0,Over 500 t,30-100 m2
4,5,0,Over 500 t,100-300 m2
4,5,0,Over 500 t,300-1000 m2
4,5,0,Over 500 t,1000-5000 m2
4,5,0,Over 500 t,Over 5000 m2
4,6,0,Up to 1 t,Less than 30 m2
4,6,0,Up to 1 t,30-100 m2
4,6,0,Up to 1 t,100-300 m2
4,6,0,Up to 1 t,300-1000 m2
4,6,0,Up to 1 t,1000-5000 m2
4,6,0,Up to 1 t,Over 5000 m2
4,6,0,1-5 t,Less than 30 m2
4,6,0,1-5 t,30-100 m2
4,6,0,1-5 t,100-300 m2
4,6,0,1-5 t,300-1000 m2
4,6,0,1-5 t,1000-5000 m2
4,6,0,1-5 t,Over 5000 m2
4,6,0,5-20 t,Less than 30 m2
4,6,0,5-20 t,30-100 m2
4,6,0,5-20 t,100-300 m2
4,6,0,5-20 t,300-1000 m2
4,6,0,5-20 t,1000-5000 m2
4,6,0,5-20 t,Over 5000 m2
4,6,0,20-100 t,Less than 30 m2
4,6,0,20-100 t,30-100 m2
4,6,0,20-100 t,100-300 m2
4,6,0,20-100 t,300-1000 m2
4,6,0,20-100 t,1000-5000 m2
4,6,140,20-100 t,Over 5000 m2
4,6,0,100-500 t,Less than 30 m2
4,6,0,100-500 t,30-100 m2
4,6,0,100-500 t,100-300 m2
4,6,0,100-500 t,300-1000 m2
4,6,0,100-500 t,1000-5000 m2
4,6,0,100-500 t,Over 5000 m2
4,6,0,Over 500 t,Less than 30 m2
4,6,0,Over 500 t,30-100 m2
4,6,0,Over 500 t,100-300 m2
4,6,0,Over 500 t,300-1000 m2
